               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.02259,           0.0091044,            0.013531,             0.66158,             0.70675,             0.67108,             0.52433,            0.016018,            0.021879,            0.028472,            0.006436,            0.006436,            0.006436
                  38,            0.022243,           0.0089813,            0.013316,             0.64483,              0.7178,             0.67317,             0.53136,            0.016388,            0.022036,            0.026918,            0.006337,            0.006337,            0.006337
                  39,            0.022341,           0.0088865,            0.012673,              0.6528,              0.7059,             0.68242,             0.54009,            0.015934,            0.022024,             0.02688,            0.006238,            0.006238,            0.006238
                  40,            0.022084,            0.009197,            0.012552,             0.68539,             0.71014,             0.70093,             0.55515,            0.016236,            0.021765,            0.026002,            0.006139,            0.006139,            0.006139
                  41,            0.021775,           0.0091085,            0.011794,             0.68946,             0.70845,             0.69414,             0.55465,            0.015424,             0.02164,            0.025982,             0.00604,             0.00604,             0.00604
                  42,            0.021843,           0.0090887,            0.011902,             0.67517,             0.72034,             0.69132,             0.55235,             0.01586,            0.021648,            0.026209,            0.005941,            0.005941,            0.005941
                  43,            0.021641,           0.0087208,            0.011409,             0.66987,              0.7315,             0.70145,             0.56247,            0.015624,            0.021518,            0.025904,            0.005842,            0.005842,            0.005842
                  44,            0.021346,           0.0087655,            0.011182,             0.70367,              0.7329,              0.7173,             0.57582,            0.015162,             0.02165,            0.025215,            0.005743,            0.005743,            0.005743
                  45,            0.021108,           0.0088069,            0.010843,             0.68955,             0.74027,             0.72158,             0.58432,            0.014932,            0.021024,            0.025122,            0.005644,            0.005644,            0.005644
                  46,            0.020955,           0.0089577,            0.010651,             0.69666,             0.72997,             0.72982,             0.58986,            0.015091,            0.021211,            0.025076,            0.005545,            0.005545,            0.005545
                  47,            0.020921,           0.0084641,            0.010469,             0.70639,             0.75447,             0.74046,              0.6031,            0.015041,            0.021087,            0.024274,            0.005446,            0.005446,            0.005446
                  48,            0.020554,           0.0085805,           0.0098162,             0.71254,             0.76378,             0.74544,             0.60604,             0.01471,            0.021167,            0.023981,            0.005347,            0.005347,            0.005347
                  49,            0.020597,           0.0084992,           0.0097518,             0.71283,             0.74311,             0.73979,             0.60439,             0.01489,            0.021293,            0.023875,            0.005248,            0.005248,            0.005248
                  50,            0.020287,           0.0082915,           0.0096152,             0.72362,             0.74729,             0.74837,             0.61124,             0.01483,            0.021097,            0.023659,            0.005149,            0.005149,            0.005149
                  51,            0.020254,           0.0083722,           0.0091855,             0.73327,             0.75521,             0.75091,             0.61619,            0.014858,            0.021109,            0.023413,             0.00505,             0.00505,             0.00505
                  52,             0.01973,           0.0083651,           0.0090822,             0.76459,             0.73285,             0.75882,             0.62404,            0.014528,              0.0208,            0.023233,            0.004951,            0.004951,            0.004951
                  53,            0.019745,           0.0084614,            0.008867,             0.74168,             0.76463,             0.75672,             0.61801,            0.014785,            0.020959,             0.02297,            0.004852,            0.004852,            0.004852
                  54,            0.019528,           0.0082044,           0.0085464,             0.76587,             0.74757,             0.77127,             0.63512,            0.014771,             0.02105,            0.022668,            0.004753,            0.004753,            0.004753
                  55,            0.019347,           0.0082568,           0.0085278,             0.75394,             0.76268,             0.76561,             0.63011,             0.01444,            0.020938,            0.023014,            0.004654,            0.004654,            0.004654
                  56,            0.018895,           0.0081291,           0.0081462,             0.75526,             0.75804,             0.76586,             0.63086,            0.014431,            0.020859,            0.022655,            0.004555,            0.004555,            0.004555
                  57,            0.019082,           0.0081933,           0.0079067,             0.75404,             0.76536,             0.77138,             0.63724,            0.014411,            0.020939,            0.022248,            0.004456,            0.004456,            0.004456
                  58,            0.018664,           0.0081118,           0.0078147,             0.79175,             0.74661,             0.76912,             0.63895,              0.0142,            0.020567,            0.022448,            0.004357,            0.004357,            0.004357
                  59,            0.018627,           0.0083057,           0.0074503,             0.75475,             0.76872,             0.77405,             0.64549,            0.014362,            0.020515,            0.021977,            0.004258,            0.004258,            0.004258
                  60,            0.018148,           0.0080555,           0.0072569,             0.79702,              0.7438,             0.77216,             0.64542,            0.013996,            0.020547,            0.022029,            0.004159,            0.004159,            0.004159
                  61,            0.018128,           0.0079359,           0.0072295,             0.80415,             0.74486,             0.77305,             0.64457,            0.014068,             0.02042,            0.021717,             0.00406,             0.00406,             0.00406
                  62,            0.017884,           0.0080503,           0.0072191,             0.79207,             0.75837,             0.78266,             0.65247,            0.014008,            0.020394,            0.021465,            0.003961,            0.003961,            0.003961
                  63,            0.017721,           0.0078957,           0.0068835,             0.80632,             0.74936,             0.78305,             0.65461,            0.013855,            0.020309,            0.021513,            0.003862,            0.003862,            0.003862
                  64,            0.017508,             0.00791,           0.0071153,             0.80998,             0.76443,             0.78703,             0.65816,            0.013636,            0.020118,            0.021087,            0.003763,            0.003763,            0.003763
                  65,            0.017475,           0.0078826,           0.0067583,             0.81187,             0.74705,             0.78774,             0.65885,             0.01364,            0.020088,            0.021448,            0.003664,            0.003664,            0.003664
                  66,            0.017095,           0.0076495,           0.0066913,             0.81189,             0.76568,             0.79373,             0.66427,            0.013597,            0.020122,            0.020757,            0.003565,            0.003565,            0.003565
                  67,            0.016816,            0.007633,           0.0063384,             0.82293,             0.74059,              0.7883,             0.66028,            0.013497,            0.020291,            0.020878,            0.003466,            0.003466,            0.003466
                  68,            0.016793,           0.0076896,           0.0064058,             0.82523,             0.74531,             0.78763,             0.66171,            0.013548,            0.020329,            0.021056,            0.003367,            0.003367,            0.003367
                  69,            0.016698,           0.0077564,             0.00606,             0.83009,             0.74522,             0.79369,             0.66713,            0.013566,            0.020077,             0.02063,            0.003268,            0.003268,            0.003268
                  70,            0.016387,           0.0075396,           0.0058663,             0.82468,              0.7547,             0.79615,             0.66945,             0.01353,            0.020008,            0.020663,            0.003169,            0.003169,            0.003169
                  71,            0.016202,            0.007435,           0.0060518,             0.81979,             0.75996,             0.80206,             0.67752,            0.013385,            0.020078,            0.020495,             0.00307,             0.00307,             0.00307
                  72,            0.015943,           0.0075257,           0.0058084,             0.82591,             0.75765,             0.79961,             0.67449,            0.013567,            0.020204,            0.020653,            0.002971,            0.002971,            0.002971
                  73,            0.015691,           0.0074738,           0.0055376,             0.82714,             0.76518,             0.79502,             0.67044,             0.01337,            0.020004,            0.020494,            0.002872,            0.002872,            0.002872
                  74,            0.015553,           0.0073576,           0.0054288,               0.831,             0.76078,             0.79721,             0.67242,            0.013321,            0.020124,            0.020427,            0.002773,            0.002773,            0.002773
                  75,            0.015211,           0.0071399,           0.0053425,             0.82754,             0.76296,             0.79494,             0.67081,            0.013283,            0.020093,            0.020412,            0.002674,            0.002674,            0.002674
                  76,            0.015031,           0.0072733,           0.0052743,             0.83552,             0.76088,             0.79983,             0.67489,            0.013298,            0.020258,            0.020467,            0.002575,            0.002575,            0.002575
                  77,            0.014713,           0.0072809,           0.0050145,             0.83133,             0.76686,             0.80144,             0.67838,            0.013186,            0.020079,            0.020268,            0.002476,            0.002476,            0.002476
                  78,            0.014473,           0.0071209,           0.0049721,             0.82372,             0.76291,             0.79513,             0.67289,            0.013277,            0.020126,            0.020481,            0.002377,            0.002377,            0.002377
                  79,            0.014259,            0.007044,           0.0050454,             0.82678,             0.76074,             0.79624,             0.67576,            0.013115,            0.020111,            0.020294,            0.002278,            0.002278,            0.002278
                  80,            0.014113,           0.0070055,           0.0045612,             0.82834,             0.75917,             0.79727,             0.67605,             0.01305,            0.020117,             0.02019,            0.002179,            0.002179,            0.002179
                  81,            0.013782,           0.0068312,           0.0046241,             0.82583,             0.76953,             0.79798,             0.67758,            0.013033,            0.020209,            0.020138,             0.00208,             0.00208,             0.00208
                  82,            0.013604,           0.0068709,           0.0045446,             0.83362,             0.76194,             0.79806,             0.67727,            0.012968,            0.020263,            0.020091,            0.001981,            0.001981,            0.001981
                  83,            0.013443,           0.0069611,            0.004337,             0.84391,             0.74865,             0.79544,             0.67525,            0.012966,            0.020266,            0.020066,            0.001882,            0.001882,            0.001882
                  84,            0.013126,            0.006652,           0.0040551,             0.83476,             0.76124,             0.79512,             0.67612,            0.012941,            0.020163,            0.019908,            0.001783,            0.001783,            0.001783
                  85,            0.012738,           0.0065721,            0.004104,             0.82706,             0.76871,             0.79542,             0.67619,            0.012941,            0.020154,            0.019959,            0.001684,            0.001684,            0.001684
                  86,            0.012621,           0.0065082,           0.0039826,             0.82901,             0.76856,             0.79818,             0.67859,            0.012855,            0.020146,            0.019975,            0.001585,            0.001585,            0.001585
                  87,            0.012473,           0.0067553,           0.0039747,             0.82774,             0.77461,             0.79898,             0.67929,            0.012845,            0.020166,             0.01995,            0.001486,            0.001486,            0.001486
                  88,            0.012101,           0.0066225,           0.0036935,             0.83161,             0.76465,             0.79746,             0.67889,            0.012833,            0.020266,            0.019978,            0.001387,            0.001387,            0.001387
                  89,            0.011948,           0.0066107,           0.0037425,             0.83438,              0.7614,             0.79651,             0.67922,            0.012838,            0.020363,            0.019951,            0.001288,            0.001288,            0.001288
                  90,            0.011666,           0.0063166,           0.0036343,             0.83409,             0.76448,             0.79828,             0.68029,            0.012843,            0.020383,            0.020026,            0.001189,            0.001189,            0.001189
                  91,            0.011407,           0.0063131,           0.0035878,             0.84199,             0.75949,             0.79744,             0.67988,            0.012817,            0.020375,            0.020016,             0.00109,             0.00109,             0.00109
                  92,            0.011115,            0.006365,           0.0034488,              0.8396,             0.75949,             0.79689,             0.68085,            0.012782,            0.020382,            0.020047,            0.000991,            0.000991,            0.000991
                  93,            0.010959,           0.0064959,           0.0034507,             0.84037,             0.75773,             0.79844,             0.68289,            0.012768,            0.020388,            0.020072,            0.000892,            0.000892,            0.000892
                  94,            0.011107,           0.0064848,           0.0035586,             0.84102,              0.7552,             0.79826,             0.68234,            0.012793,              0.0204,            0.020077,            0.000793,            0.000793,            0.000793
                  95,            0.010781,            0.006558,           0.0034187,             0.83966,              0.7571,             0.79927,             0.68333,            0.012796,            0.020361,            0.020083,            0.000694,            0.000694,            0.000694
                  96,            0.010501,            0.006368,           0.0033399,             0.84579,             0.75743,             0.80051,             0.68474,            0.012771,            0.020347,            0.020078,            0.000595,            0.000595,            0.000595
                  97,            0.010251,           0.0063279,           0.0031193,             0.84614,             0.75687,             0.80081,             0.68545,            0.012738,            0.020314,            0.020108,            0.000496,            0.000496,            0.000496
                  98,            0.010096,           0.0064527,           0.0030827,             0.84646,             0.75662,             0.80141,             0.68581,            0.012724,            0.020315,            0.020186,            0.000397,            0.000397,            0.000397
                  99,           0.0098562,           0.0062811,           0.0029193,              0.8487,             0.75384,             0.80064,             0.68552,            0.012735,            0.020355,            0.020217,            0.000298,            0.000298,            0.000298
